#time,accel_x,accel_y,accel_z
4165.603986,76.609550,370.102971,9622.677246
4165.604302,0.000000,222.061783,9326.594869
4165.604617,229.828649,-0.000000,9326.594869
4165.604933,383.047749,296.082377,9326.594869
4165.605248,76.609550,-74.020594,9474.636058
4165.605564,0.000000,-0.000000,9400.615463
4165.605880,0.000000,222.061783,9474.636058
4165.606195,306.438199,-0.000000,9474.636058
4165.606511,153.219100,-0.000000,9474.636058
4165.606826,0.000000,-148.041188,9622.677246
4165.607142,153.219100,-0.000000,9548.656652
4165.607457,0.000000,-0.000000,9622.677246
4165.607773,383.047749,-0.000000,9770.718434
4165.608088,536.266849,222.061783,9696.697840
4165.608404,153.219100,222.061783,9474.636058
4165.608719,0.000000,222.061783,9474.636058
4165.609035,306.438199,-0.000000,9918.759623
4165.609351,229.828649,-0.000000,9918.759623
4165.609666,229.828649,-0.000000,9696.697840
4165.609982,0.000000,222.061783,9770.718434
4165.610297,76.609550,-0.000000,9844.739029
4165.610613,0.000000,-0.000000,9770.718434
4165.610928,306.438199,222.061783,9770.718434
4165.611244,306.438199,296.082377,9770.718434
4165.611559,0.000000,222.061783,10140.821405
4165.611875,0.000000,-0.000000,9400.615463
4165.612190,76.609550,296.082377,9474.636058
4165.612506,229.828649,296.082377,9992.780217
4165.612822,0.000000,-0.000000,9548.656652
4165.613137,0.000000,222.061783,9622.677246
4165.613453,153.219100,-0.000000,9696.697840
4165.613768,-153.219100,-0.000000,9104.533087
4165.614084,153.219100,-0.000000,9104.533087
4165.614399,153.219100,-0.000000,9474.636058
4165.614715,0.000000,222.061783,9474.636058
4165.615030,306.438199,222.061783,9474.636058
4165.615346,0.000000,74.020594,9474.636058
4165.615661,76.609550,-0.000000,9474.636058
4165.615977,229.828649,-0.000000,9474.636058
4165.616292,0.000000,444.123565,9474.636058
4165.616608,153.219100,-296.082377,9474.636058
4165.616924,459.657299,222.061783,9474.636058
4165.617239,383.047749,-0.000000,9104.533087
4165.617555,229.828649,-0.000000,9326.594869
4165.617870,459.657299,-0.000000,9548.656652
4165.618186,383.047749,-0.000000,9400.615463
4165.618501,76.609550,-0.000000,9622.677246
4165.618817,383.047749,222.061783,9622.677246
4165.619132,306.438199,148.041188,9474.636058
4165.619448,383.047749,-0.000000,9474.636058
4165.619763,229.828649,-0.000000,9474.636058
4165.620079,76.609550,-0.000000,9622.677246
4165.620395,306.438199,-0.000000,9474.636058
4165.620710,-229.828649,296.082377,10066.800811
4165.621026,689.485948,296.082377,10066.800811
4165.621341,0.000000,74.020594,9992.780217
4165.621657,153.219100,-0.000000,9696.697840
4165.621972,-153.219100,148.041188,9548.656652
4165.622288,153.219100,-74.020594,10214.842000
4165.622603,0.000000,296.082377,9696.697840
4165.622919,153.219100,-0.000000,9548.656652
4165.623234,0.000000,296.082377,9696.697840
4165.623550,153.219100,-0.000000,9622.677246
4165.623866,0.000000,-148.041188,9548.656652
4165.624181,0.000000,-0.000000,9770.718434
4165.624497,153.219100,-0.000000,9474.636058
4165.624812,-153.219100,-0.000000,9178.553681
4165.625128,0.000000,-74.020594,9400.615463
4165.625443,-229.828649,296.082377,9696.697840
4165.625759,229.828649,-0.000000,9474.636058
4165.626074,0.000000,296.082377,9474.636058
4165.626390,153.219100,148.041188,9252.574275
4165.626705,153.219100,-0.000000,9400.615463
4165.627021,229.828649,148.041188,9548.656652
4165.627336,0.000000,296.082377,9548.656652
4165.627652,0.000000,-0.000000,9696.697840
4165.627968,153.219100,-74.020594,9104.533087
4165.628283,536.266849,-74.020594,9548.656652
4165.628599,0.000000,-0.000000,9770.718434
4165.628914,-459.657299,296.082377,9178.553681
4165.629230,-229.828649,-0.000000,9474.636058
4165.629545,153.219100,148.041188,9474.636058
4165.629861,0.000000,518.144159,9326.594869
4165.630176,-229.828649,296.082377,9400.615463
4165.630492,0.000000,518.144159,9474.636058
4165.630807,-689.485948,222.061783,9918.759623
4165.631123,-229.828649,518.144159,9548.656652
4165.631439,-459.657299,370.102971,10214.842000
4165.631754,-383.047749,444.123565,9696.697840
4165.632070,0.000000,370.102971,9622.677246
4165.632385,-536.266849,962.267725,9474.636058
4165.632701,-459.657299,962.267725,9548.656652
4165.633016,-689.485948,1110.308913,9770.718434
4165.633332,-995.924147,1184.329507,9326.594869
4165.633647,-995.924147,1480.411884,8882.471304
4165.633963,-1608.800546,1110.308913,9474.636058
4165.634278,-2221.676944,1332.370696,9104.533087
4165.634594,-2528.115143,1036.288319,9474.636058
4165.634910,-2604.724693,1332.370696,9622.677246
4165.635225,-2528.115143,888.247130,9548.656652
4165.635541,-2757.943793,1110.308913,9696.697840
4165.635856,-2911.162892,1406.391290,9696.697840
4165.636172,-2987.772442,1628.453072,9844.739029
4165.636487,-2834.553343,1998.556043,9548.656652
4165.636803,-2604.724693,2590.720797,9400.615463
4165.637118,-2528.115143,2664.741391,9030.512492
4165.637434,-2451.505594,2590.720797,9252.574275
4165.637749,-2298.286494,3182.885551,9104.533087
4165.638065,-2298.286494,3034.844362,9178.553681
4165.638381,-2374.896044,2590.720797,9622.677246
4165.638696,-2298.286494,2738.761985,9474.636058
4165.639012,-2451.505594,2516.700203,10066.800811
4165.639327,-2298.286494,2442.679609,10436.903782
4165.639643,-2221.676944,2220.617826,10288.862594
4165.639958,-2145.067394,2220.617826,10214.842000
4165.640274,-1378.971896,2516.700203,9696.697840
4165.640589,-766.095498,2886.803174,9400.615463
4165.640905,-919.314598,3849.070898,8882.471304
4165.641220,-919.314598,4145.153275,8216.285956
4165.641536,-1149.143247,3997.112087,8512.368333
4165.641851,-1072.533697,3997.112087,8956.491898
4165.642167,-1838.629195,3256.906145,9474.636058
4165.642483,-2451.505594,2960.823768,10214.842000
4165.642798,-2757.943793,2368.659014,10658.965565
4165.643114,-2834.553343,2442.679609,11769.274478
4165.643429,-2451.505594,2442.679609,11695.253884
4165.643745,-2604.724693,2738.761985,11399.171507
4165.644060,-2374.896044,3627.009116,10807.006753
4165.644376,-1991.848295,4145.153275,9918.759623
4165.644691,-1455.581446,4663.297435,9622.677246
4165.645007,-1455.581446,4737.318029,8734.430116
4165.645322,-1455.581446,4441.235652,8734.430116
4165.645638,-1915.238745,4219.173869,8882.471304
4165.645954,-2298.286494,3330.926739,9474.636058
4165.646269,-2145.067394,2960.823768,9622.677246
4165.646585,-2298.286494,1924.535449,10881.027347
4165.646900,-2681.334243,1628.453072,11177.109724
4165.647216,-2528.115143,1406.391290,11251.130318
4165.647531,-2298.286494,1702.473667,11103.089130
4165.647847,-1378.971896,1924.535449,10362.883188
4165.648162,-306.438199,2368.659014,9696.697840
4165.648478,76.609550,3108.864956,8586.388927
4165.648793,383.047749,3108.864956,8216.285956
4165.649109,383.047749,3775.050304,8364.327145
4165.649425,0.000000,3404.947333,7328.038826
4165.649740,-842.705048,3552.988522,7402.059420
4165.650056,-1608.800546,2812.782580,8438.347739
4165.650371,-2834.553343,2220.617826,8882.471304
4165.650687,-3447.429741,1036.288319,9918.759623
4165.651002,-4213.525239,296.082377,11177.109724
4165.651318,-4596.572988,-0.000000,11325.150913
4165.651633,-4596.572988,-0.000000,11029.068536
4165.651949,-3983.696590,444.123565,11325.150913
4165.652264,-3217.601092,444.123565,10881.027347
4165.652580,-2221.676944,1184.329507,10881.027347
4165.652895,-689.485948,2368.659014,9918.759623
4165.653211,383.047749,3034.844362,9326.594869
4165.653527,919.314598,3923.091493,8438.347739
4165.653842,995.924147,4071.132681,7846.182985
4165.654158,689.485948,3182.885551,7846.182985
4165.654473,-306.438199,2516.700203,7772.162391
4165.654789,-1378.971896,2294.638420,7550.100608
4165.655104,-2145.067394,-0.000000,7624.121203
4165.655420,-3294.210641,-518.144159,8808.450710
4165.655735,-4903.011187,-888.247130,9696.697840
4165.656051,-5822.325785,-1480.411884,11769.274478
4165.656366,-5592.497135,-962.267725,10436.903782
4165.656682,-5209.449386,-1406.391290,11769.274478
4165.656998,-4136.915689,-740.205942,11843.295072
4165.657313,-2298.286494,-666.185348,11917.315666
4165.657629,-383.047749,1406.391290,10881.027347
4165.657944,1378.971896,2442.679609,9400.615463
4165.658260,2451.505594,4737.318029,7846.182985
4165.658575,2604.724693,5921.647536,6439.791695
4165.658891,2528.115143,6735.874072,5107.421000
4165.659206,1072.533697,5921.647536,5033.400406
4165.659522,-919.314598,5033.400406,5921.647536
4165.659837,-3447.429741,2516.700203,8438.347739
4165.660153,-5669.106685,-1258.350101,10807.006753
4165.660469,-6818.249932,-3701.029710,12953.603985
4165.660784,-7507.735880,-4441.235652,13545.768739
4165.661100,-7354.516781,-4441.235652,15322.262999
4165.661415,-5439.278036,-3256.906145,14582.057057
4165.661731,-3370.820191,-222.061783,11177.109724
4165.662046,-459.657299,3627.009116,8438.347739
4165.662362,1608.800546,6587.832884,6513.812290
4165.662677,2451.505594,9474.636058,4219.173869
4165.662993,3140.991542,10214.842000,3404.947333
4165.663308,2068.457845,8882.471304,4663.297435
4165.663624,459.657299,6809.894666,7550.100608
4165.663939,-1149.143247,3997.112087,11029.068536
4165.664255,-3753.867940,-444.123565,13323.706956
4165.664571,-4749.792088,-2812.782580,15618.345376
4165.664886,-5515.887586,-3108.864956,15618.345376
4165.665202,-4673.182538,-3404.947333,14285.974681
4165.665517,-3983.696590,-1332.370696,11769.274478
4165.665833,-2221.676944,1628.453072,10214.842000
4165.666148,-1838.629195,4885.359217,7550.100608
4165.666464,-229.828649,6883.915261,4811.338623
4165.666779,919.314598,7550.100608,4589.276840
4165.667095,612.876398,7179.997637,5033.400406
4165.667410,-689.485948,5107.421000,7476.080014
4165.667726,-1608.800546,2960.823768,9252.574275
4165.668042,-1915.238745,1924.535449,10955.047942
4165.668357,-1685.410096,814.226536,12139.377449
4165.668673,-2451.505594,740.205942,12805.562797
4165.668988,-2757.943793,740.205942,12583.501014
4165.669304,-2757.943793,1702.473667,12213.398043
4165.669619,-3140.991542,3256.906145,10732.986159
4165.669935,-3370.820191,3849.070898,9104.533087
4165.670250,-3370.820191,3997.112087,8586.388927
4165.670566,-2374.896044,3182.885551,8216.285956
4165.670881,-1608.800546,3330.926739,7698.141797
4165.671197,-1991.848295,3478.967927,7402.059420
4165.671513,-1762.019645,3478.967927,8882.471304
4165.671828,-2451.505594,2960.823768,10881.027347
4165.672144,-2374.896044,2590.720797,11621.233289
4165.672459,-2145.067394,1924.535449,11621.233289
4165.672775,-1455.581446,370.102971,11473.192101
4165.673090,-842.705048,444.123565,10584.944971
4165.673406,-1685.410096,1850.514855,9844.739029
4165.673721,-1762.019645,3552.988522,8142.265362
4165.674037,-1225.752797,4219.173869,8142.265362
4165.674352,-919.314598,4959.379811,8068.244768
4165.674668,-1915.238745,4663.297435,8438.347739
4165.674983,-2451.505594,2960.823768,9474.636058
4165.675299,-2451.505594,888.247130,10732.986159
4165.675615,-1915.238745,-370.102971,11769.274478
4165.675930,-1915.238745,-1554.432478,11991.336260
4165.676245,-1302.362347,-1406.391290,12879.583391
4165.676561,0.000000,-888.247130,11917.315666
4165.676876,229.828649,1184.329507,10140.821405
4165.677192,1225.752797,2738.761985,8808.450710
